FICE	College_name	State	Type	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	Average_salary_all_ranks	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	Dbpedia_URL
1678	Eureka College	IL	IIB	*	370	315	355	*	458	390	438	5	16	16	0	37	http://dbpedia.org/resource/Eureka_College
1684	Greenville College	IL	IIB	374	331	292	336	466	424	370	422	27	11	15	4	57	http://dbpedia.org/resource/Greenville_College
1688	Illinois College	IL	IIB	522	424	347	424	621	503	410	502	16	18	14	3	51	http://dbpedia.org/resource/Illinois_College
1691	Illinois Institute of Technology	IL	I	680	480	452	512	836	606	558	636	93	81	73	11	287	http://dbpedia.org/resource/Illinois_Institute_of_Technology
1692	Illinois State University	IL	I	548	436	373	460	638	514	445	541	289	187	244	0	720	http://dbpedia.org/resource/Illinois_State_University
1694	Chicago State University	IL	IIA	446	369	320	345	509	425	371	399	120	65	77	14	351	http://dbpedia.org/resource/Chicago_State_University
1696	Illinois Wesleyan University	IL	IIB	570	452	374	445	729	593	477	572	32	42	47	8	129	http://dbpedia.org/resource/Illinois_Wesleyan_University
1700	Judson College	IL	IIB	400	358	305	358	486	445	366	438	10	12	6	1	29	http://dbpedia.org/resource/Judson_College_(Alabama)
1703	Kendall College	IL	IIB	*	357	*	319	*	423	*	377	1	11	3	4	19	http://dbpedia.org/resource/Kendall_College
1704	Knox College	IL	IIB	508	414	342	432	650	518	416	544	35	17	20	5	77	http://dbpedia.org/resource/Knox_College_(Illinois)
1706	Lake Forest College	IL	IIB	644	475	402	495	843	650	543	662	26	22	24	5	81	http://dbpedia.org/resource/Lake_Forest_College
1707	Lewis University	IL	IIA	467	392	330	357	561	481	407	437	37	20	29	52	138	http://dbpedia.org/resource/Lewis_University
1710	Loyola University of Chicago	IL	I	761	536	433	570	924	664	536	701	164	230	163	6	563	http://dbpedia.org/resource/Loyola_University_Chicago
1717	MacMurray College	IL	IIB	324	263	250	262	393	334	307	318	13	9	16	31	69	http://dbpedia.org/resource/MacMurray_College
1722	McKendree College	IL	IIB	433	397	341	381	539	493	407	467	16	10	16	5	47	http://dbpedia.org/resource/McKendree_University
1724	Millikin University	IL	IIB	478	409	313	386	583	501	383	472	34	38	46	6	124	http://dbpedia.org/resource/Millikin_University
1725	Monmouth College	IL	IIB	443	339	325	381	544	412	385	464	20	12	11	1	44	http://dbpedia.org/resource/Monmouth_College
1733	National-Louis University	IL	IIA	490	405	337	348	566	472	394	405	20	51	120	23	253	http://dbpedia.org/resource/National_Louis_University
1734	North Central College	IL	IIB	473	399	348	398	588	501	437	497	24	40	28	5	97	http://dbpedia.org/resource/North_Central_College
1735	North Park College	IL	IIB	415	337	285	339	540	426	352	431	23	18	18	2	65	http://dbpedia.org/resource/North_Park_University
1737	Northern Illinois University	IL	I	578	435	375	440	667	509	443	515	314	266	246	112	944	http://dbpedia.org/resource/Northern_Illinois_University
1739	Northwestern University	IL	I	860	596	496	712	1045	735	602	868	460	209	203	0	872	http://dbpedia.org/resource/Northwestern_University
1741	Olivet Nazarene University	IL	IIA	391	335	278	320	476	412	346	395	26	22	36	8	92	http://dbpedia.org/resource/Olivet_Nazarene_University
1744	Principia College	IL	IIB	465	400	345	395	572	540	414	490	20	9	13	7	49	http://dbpedia.org/resource/Principia_College
1745	Quincy University	IL	IIB	372	371	285	345	459	462	351	427	18	21	14	2	55	http://dbpedia.org/resource/Quincy_University
1749	Roosevelt University	IL	IIA	484	405	359	416	610	517	464	531	50	58	42	2	152	http://dbpedia.org/resource/Roosevelt_University
1750	Rosary College	IL	IIB	448	378	377	382	543	479	454	468	10	25	34	3	72	http://dbpedia.org/resource/Dominican_University_(Illinois)
1767	Illinois Benedictine College	IL	IIA	463	395	315	409	576	493	403	511	38	36	17	0	91	http://dbpedia.org/resource/Benedictine_University
1768	Saint Xavier University	IL	IIA	551	452	388	439	667	548	471	531	22	78	53	6	159	http://dbpedia.org/resource/Saint_Xavier_University
1772	Trinity College	IL	IIB	*	346	291	320	*	406	347	377	5	11	13	2	31	http://dbpedia.org/resource/Trinity_College_(Connecticut)
1774	University of Chicago	IL	I	894	586	515	742	1104	724	636	916	467	138	161	36	802	http://dbpedia.org/resource/University_of_Chicago
1775	University of Illinois-Urbana	IL	I	682	493	421	570	783	574	494	659	927	520	393	1	1868	http://dbpedia.org/resource/University_of_Illinois_School_of_Architecture
1776	University of Illinois-Chicago	IL	I	656	476	411	513	755	555	483	596	401	369	296	20	1135	http://dbpedia.org/resource/University_of_Illinois_at_Chicago
1780	Western Illinois University	IL	IIA	506	427	350	421	587	500	414	493	241	171	123	62	606	http://dbpedia.org/resource/Western_Illinois_University
1781	Wheaton College	IL	IIA	510	437	368	452	640	569	461	574	67	54	32	3	156	http://dbpedia.org/resource/Wheaton_College_(Massachusetts)
9333	Sangamon State University	IL	IIA	499	437	370	433	594	516	447	516	50	62	46	5	163	http://dbpedia.org/resource/University_of_Illinois_at_Springfield
1785	Anderson University	IN	IIB	415	340	316	347	532	427	389	437	43	45	36	14	138	http://dbpedia.org/resource/Anderson_University_(Indiana)
1786	Ball State University	IN	I	517	410	332	384	666	537	438	501	297	160	350	155	965	http://dbpedia.org/resource/Ball_State_University
1787	Bethel College	IN	IIB	*	*	285	295	*	*	363	376	5	4	26	1	36	http://dbpedia.org/resource/Bethel_College_(Kansas)
1788	Butler University	IN	IIA	521	442	366	439	650	551	447	544	72	66	77	3	220	http://dbpedia.org/resource/Butler_University
1792	DePauw University	IN	IIB	540	433	361	452	695	570	465	587	51	57	38	0	146	http://dbpedia.org/resource/DePauw_University
1793	Earlham College	IN	IIB	514	394	338	445	639	483	414	551	44	13	22	0	79	http://dbpedia.org/resource/Earlham_College
1795	University of Evansville	IN	IIA	500	415	351	414	602	505	415	496	57	43	58	4	170	http://dbpedia.org/resource/University_of_Evansville
1799	Goshen College	IN	IIB	388	341	291	345	479	410	344	418	37	19	28	0	84	http://dbpedia.org/resource/Goshen_College
1800	Grace College	IN	IIB	326	264	228	285	439	372	334	395	14	11	6	0	31	http://dbpedia.org/resource/Grace_College
1801	Hanover College	IN	IIB	555	437	377	432	682	539	455	524	28	16	35	13	92	http://dbpedia.org/resource/Hanover_College
1803	Huntington College	IN	IIB	438	367	305	358	544	455	379	444	11	11	13	3	38	http://dbpedia.org/resource/Huntington_University_(Canada)
1804	University of Indianapolis	IN	IIA	487	408	358	382	620	515	433	469	16	38	52	19	125	http://dbpedia.org/resource/University_of_Indianapolis
1808	University of Southern Indiana	IN	IIA	493	421	377	384	636	545	477	491	35	38	58	50	181	http://dbpedia.org/resource/University_of_Southern_Indiana
1809	Indiana University of-Bloomington	IN	I	674	479	399	540	852	615	507	685	624	344	305	1	1361	http://dbpedia.org/resource/Indiana_University_Bloomington
1814	Indiana University at Kokomo	IN	IIB	519	432	380	397	665	548	482	504	13	21	29	0	81	http://dbpedia.org/resource/Indiana_University_Kokomo
1816	Indiana University at South Bend	IN	IIA	544	445	391	420	696	571	495	537	32	56	57	0	175	http://dbpedia.org/resource/Indiana_University_South_Bend
1820	Manchester College	IN	IIB	412	340	289	340	527	416	348	420	24	22	17	11	74	http://dbpedia.org/resource/Manchester_College_(Indiana)
1821	Marian College	IN	IIB	420	329	303	330	520	411	379	411	15	23	34	5	79	http://dbpedia.org/resource/Marian_College,_Christchurch
1822	Indiana Wesleyan University	IN	IIB	396	342	294	335	492	431	367	418	22	23	34	2	81	http://dbpedia.org/resource/Indiana_Wesleyan_University
1824	Oakland City College	IN	IIB	*	282	252	269	*	340	314	328	3	11	10	4	28	http://dbpedia.org/resource/Oakland_City_University
1827	Purdue University-Calumet	IN	IIA	519	413	364	405	677	541	479	530	47	105	74	21	247	http://dbpedia.org/resource/Purdue_University_Calumet
1830	Rose-Hulman Institute of Technology	IN	IIB	608	522	447	549	797	679	568	715	51	29	21	0	101	http://dbpedia.org/resource/Rose%E2%80%93Hulman_Institute_of_Technology
1832	Saint Francis College	IN	IIB	*	334	313	316	*	393	371	373	3	8	21	5	37	http://dbpedia.org/resource/Saint_Francis_University
1833	Saint Joseph's College	IN	IIB	373	374	312	344	486	478	400	443	13	12	19	1	45	http://dbpedia.org/resource/Saint_Joseph's_College_(Indiana)
1835	Saint Mary-of-the-Woods Coll	IN	IIB	307	234	199	232	382	295	246	290	11	11	18	4	44	http://dbpedia.org/resource/Saint_Mary-of-the-Woods_College
1836	Saint Mary's College	IN	IIB	524	391	331	388	675	509	435	505	21	43	52	1	117	http://dbpedia.org/resource/Saint_Mary's_College_(Indiana)
1838	Taylor University	IN	IIB	404	352	300	355	555	486	382	480	36	31	25	3	95	http://dbpedia.org/resource/Taylor_University
1839	Tri-State University	IN	IIB	395	324	291	340	485	395	356	415	23	28	10	3	64	http://dbpedia.org/resource/Trine_University
1840	University of Notre Dame	IN	I	798	562	470	637	985	701	573	787	274	195	164	11	644	http://dbpedia.org/resource/University_of_Notre_Dame
1842	Valparaiso University	IN	IIA	559	423	372	446	681	525	459	548	67	58	74	5	204	http://dbpedia.org/resource/Valparaiso_University
1844	Wabash College	IN	IIB	612	474	371	501	770	602	482	637	31	22	20	1	74	http://dbpedia.org/resource/Wabash_College
9563	Indiana State University	IN	I	500	394	343	423	647	513	438	545	248	133	151	16	548	http://dbpedia.org/resource/Indiana_State_University
1903	Baker University	KS	IIB	369	318	288	327	443	396	346	397	18	18	16	0	52	http://dbpedia.org/resource/Baker_University
1904	Bethany College	KS	IIB	335	280	248	281	415	360	308	350	16	9	24	2	51	http://dbpedia.org/resource/Bethany_College_(Kansas)
1905	Bethel College	KS	IIB	325	285	267	285	408	356	336	358	16	19	8	5	48	http://dbpedia.org/resource/Bethel_College_(Kansas)
1915	Fort Hays State University	KS	IIA	446	378	325	377	556	475	412	474	84	56	71	21	232	http://dbpedia.org/resource/Fort_Hays_State_University
1926	Pittsburg State University	KS	IIA	450	381	331	375	567	484	425	477	103	76	70	4	291	http://dbpedia.org/resource/Pittsburg_State_University
1927	Emporia State University	KS	IIA	435	390	330	367	553	499	427	471	67	67	78	26	238	http://dbpedia.org/resource/Emporia_State_University
1928	Kansas State University	KS	I	550	419	368	440	686	530	466	554	305	231	259	63	858	http://dbpedia.org/resource/Kansas_State_University
1929	Kansas Wesleyan University	KS	IIB	337	290	265	293	394	343	299	340	11	14	10	3	38	http://dbpedia.org/resource/Kansas_Wesleyan_University
1933	McPherson College	KS	IIB	318	274	254	272	397	353	313	342	7	16	11	3	37	http://dbpedia.org/resource/McPherson_College
1937	Ottawa University	KS	IIB	338	292	264	284	410	348	309	338	13	12	22	8	55	http://dbpedia.org/resource/Ottawa_University
1940	Southwestern College	KS	IIB	340	318	278	311	415	388	341	380	16	10	10	3	39	http://dbpedia.org/resource/Southwestern_College_(Kansas)
1943	Saint Mary College	KS	IIB	336	301	261	282	390	358	313	335	10	11	15	5	43	http://dbpedia.org/resource/St_Mary's_College,_Auckland
1946	Tabor College	KS	IIB	304	*	222	257	385	*	282	326	8	5	8	3	24	http://dbpedia.org/resource/Tabor_College_(Kansas)
1948	University of Kansas	KS	I	579	422	367	485	714	529	458	603	474	297	204	6	981	http://dbpedia.org/resource/University_of_Kansas
1949	Washburn University	KS	IIA	594	438	333	457	719	540	416	561	76	55	59	11	201	http://dbpedia.org/resource/Washburn_University
1950	Wichita State University	KS	IIA	555	417	361	415	679	518	450	514	101	154	188	24	467	http://dbpedia.org/resource/Wichita_State_University
7032	Mid-America Nazarene College	KS	IIB	371	305	265	300	457	378	329	372	18	12	24	6	60	http://dbpedia.org/resource/MidAmerica_Nazarene_University
10256	Benedictine College	KS	IIB	335	316	278	296	374	368	327	342	11	16	16	7	50	http://dbpedia.org/resource/Benedictine_College
1954	Bellarmine College	KY	IIA	473	385	326	394	583	480	396	482	32	18	27	7	84	http://dbpedia.org/resource/Bellarmine_College_Preparatory
1955	Berea College	KY	IIB	552	428	355	436	675	518	421	525	32	43	31	6	112	http://dbpedia.org/resource/Berea_College
1958	Brescia College	KY	IIB	*	322	273	299	*	390	324	357	4	10	14	4	32	http://dbpedia.org/resource/Brescia_University
1959	Campbellsville College	KY	IIB	342	278	252	277	422	350	318	347	12	11	16	7	46	http://dbpedia.org/resource/Campbellsville_University
1960	Spalding University	KY	IIB	359	315	289	313	416	370	333	363	15	22	26	3	66	http://dbpedia.org/resource/Spalding_University
1961	Centre College	KY	IIB	521	418	351	431	653	514	423	532	27	21	21	4	73	http://dbpedia.org/resource/Centre_College
1962	Cumberland College	KY	IIB	354	291	272	286	438	362	337	355	17	23	32	20	97	http://dbpedia.org/resource/Cumberland_College_(Saskatchewan)
1963	Eastern Kentucky University	KY	IIA	519	439	371	442	648	551	468	555	237	135	185	29	586	http://dbpedia.org/resource/Eastern_Kentucky_University
1964	Georgetown College	KY	IIB	398	338	297	343	493	418	352	420	29	18	19	6	72	http://dbpedia.org/resource/Georgetown_College_(Kentucky)
1968	Kentucky State University	KY	IIB	460	403	329	377	576	505	416	474	26	35	52	5	118	http://dbpedia.org/resource/Kentucky_State_University
1969	Kentucky Wesleyan College	KY	IIB	383	326	292	327	474	404	358	405	17	18	11	5	51	http://dbpedia.org/resource/Kentucky_Wesleyan_College
1972	Lindsey Wilson College	KY	IIB	*	359	278	294	*	427	331	349	2	7	11	18	38	http://dbpedia.org/resource/Lindsey_Wilson_College
1976	Morehead State University	KY	IIA	478	395	322	373	600	498	410	472	87	89	123	37	336	http://dbpedia.org/resource/Morehead_State_University
1977	Murray State University	KY	IIA	462	396	342	383	601	520	451	503	95	101	101	7	336	http://dbpedia.org/resource/Murray_State_University
1980	Pikeville College	KY	IIB	359	314	275	304	434	377	332	367	8	25	15	3	51	http://dbpedia.org/resource/University_of_Pikeville_Kentucky_College_of_Osteopathic_Medicine
1987	Transylvania University	KY	IIB	447	393	318	384	627	526	424	521	18	25	18	2	63	http://dbpedia.org/resource/Transylvania_University
1988	Union College	KY	IIB	314	287	255	277	383	353	304	335	11	20	8	9	48	http://dbpedia.org/resource/Union_College
1989	University of Kentucky	KY	I	634	473	418	521	760	574	504	628	470	416	308	6	1200	http://dbpedia.org/resource/University_of_Kentucky
1999	University of Louisville	KY	I	584	442	368	476	715	547	449	584	276	208	169	12	674	http://dbpedia.org/resource/University_of_Louisville
2001	Thomas More College	KY	IIB	352	324	277	312	432	394	345	382	12	30	18	1	62	http://dbpedia.org/resource/Thomas_More_College_(Kentucky)
2002	Western Kentucky University	KY	IIA	485	408	347	413	613	517	442	524	223	135	144	43	553	http://dbpedia.org/resource/Western_Kentucky_University
9275	Northern Kentucky University	KY	IIA	506	427	350	388	623	529	432	478	83	96	90	14	341	http://dbpedia.org/resource/Northern_Kentucky_University
2004	Dillard University	LA	IIB	494	373	342	350	567	437	398	406	8	15	59	10	96	http://dbpedia.org/resource/Dillard_University
2005	Nicholls State University	LA	IIB	440	361	316	338	535	439	385	412	72	67	82	40	286	http://dbpedia.org/resource/Nicholls_State_University
2006	Grambling State University	LA	IIA	442	392	329	349	491	437	369	391	48	48	124	45	265	http://dbpedia.org/resource/Grambling_State_University
2007	Louisiana College	LA	IIB	375	324	308	338	484	427	401	440	25	13	18	4	60	http://dbpedia.org/resource/Louisiana_College
2008	Louisiana Tech University	LA	IIA	472	408	344	391	549	494	418	467	129	93	131	36	389	http://dbpedia.org/resource/Louisiana_Tech_University
2015	University of New Orleans	LA	IIA	512	378	352	404	609	453	423	483	199	128	116	67	510	http://dbpedia.org/resource/University_of_New_Orleans
2016	Loyola University	LA	IIA	593	451	393	476	728	560	482	587	77	103	45	2	241	http://dbpedia.org/resource/Loyola_University_Chicago
2017	McNeese State University	LA	IIA	456	374	323	363	554	458	398	446	76	77	104	33	290	http://dbpedia.org/resource/McNeese_State_University
2023	Our Lady of Holy Cross College	LA	IIB	*	306	325	314	*	378	400	385	1	9	9	6	25	http://dbpedia.org/resource/Our_Lady_of_Holy_Cross_College
2029	Tulane University	LA	I	713	514	418	564	876	646	514	699	172	166	115	3	456	http://dbpedia.org/resource/Tulane_University
2031	University of Southwestern Louisiana	LA	I	533	409	359	402	633	493	434	483	147	136	167	98	548	http://dbpedia.org/resource/University_of_Louisiana_at_Lafayette
2115	Amherst College	MA	IIB	726	516	425	610	917	661	546	774	87	23	43	0	153	http://dbpedia.org/resource/Amherst_College
2117	Anna Maria College	MA	IIB	407	364	318	341	499	470	377	416	6	9	14	4	33	http://dbpedia.org/resource/Anna_Maria_College
2118	Assumption College	MA	IIB	479	400	325	385	610	518	413	492	22	42	40	3	107	http://dbpedia.org/resource/Assumption_College
2120	Merrimack College	MA	IIB	507	393	326	395	652	518	407	510	24	63	38	0	125	http://dbpedia.org/resource/Merrimack_College
2121	Babson College	MA	IIB	787	613	557	633	975	769	700	790	31	45	31	3	119	http://dbpedia.org/resource/Babson_College
2124	Bentley College	MA	IIA	717	566	493	575	894	708	599	712	48	84	56	10	198	http://dbpedia.org/resource/Bentley_University
2126	Berklee College of Music	MA	IIB	504	402	329	381	605	491	405	466	17	59	61	2	139	http://dbpedia.org/resource/Berklee_College_of_Music
2128	Boston College	MA	I	784	569	496	614	964	717	604	761	165	245	126	10	556	http://dbpedia.org/resource/Boston_College
2132	Bradford College	MA	IIB	447	352	310	346	557	450	384	435	9	18	8	6	41	http://dbpedia.org/resource/Bradford_College_(England)
2133	Brandeis University	MA	I	687	493	403	550	859	619	496	686	142	71	40	3	299	http://dbpedia.org/resource/Brandeis_University
2139	Clark University	MA	IIA	664	469	395	522	822	593	488	651	58	64	38	0	160	http://dbpedia.org/resource/Clark_University
2141	College of the Holy Cross	MA	IIB	695	506	406	519	875	627	500	644	44	84	54	4	186	http://dbpedia.org/resource/College_of_the_Holy_Cross
2146	Emerson College	MA	IIA	669	502	386	488	874	652	494	632	21	33	35	3	92	http://dbpedia.org/resource/Emerson_College
2153	Gordon College	MA	IIB	432	352	319	381	578	467	424	505	35	18	13	5	71	http://dbpedia.org/resource/Gordon_College_(Massachusetts)
2155	Harvard University	MA	I	1009	559	500	793	1236	723	653	989	654	149	255	8	1172	http://dbpedia.org/resource/Harvard_University
2158	Lasell College	MA	IIB	*	336	322	320	*	403	389	387	3	7	13	4	27	http://dbpedia.org/resource/Lasell_College
2178	Massachusetts Institute of Technology	MA	I	903	637	528	757	1124	806	678	951	583	177	164	36	989	http://dbpedia.org/resource/Massachusetts_Institute_of_Technology
2183	Bridgewater State College	MA	IIA	517	440	400	468	672	583	542	617	144	53	41	17	255	http://dbpedia.org/resource/Bridgewater_State_University
2184	Fitchburg State College	MA	IIA	512	429	395	444	644	540	501	560	87	56	70	11	224	http://dbpedia.org/resource/Fitchburg_State_University
2187	North Adams State College	MA	IIB	510	394	361	428	642	507	468	546	34	34	21	2	91	http://dbpedia.org/resource/Massachusetts_College_of_Liberal_Arts
2189	Westfield State College	MA	IIA	523	419	378	457	662	530	478	578	79	46	44	0	169	http://dbpedia.org/resource/Westfield_State_University
2190	Worcester State College	MA	IIA	528	456	370	463	669	585	483	593	81	44	30	13	168	http://dbpedia.org/resource/Worcester_State_University
2192	Mount Holyoke College	MA	IIB	694	505	400	541	866	645	496	678	73	47	51	3	191	http://dbpedia.org/resource/Mount_Holyoke_College
2199	Northeastern University	MA	I	688	525	460	543	880	689	599	705	236	260	176	0	730	http://dbpedia.org/resource/Northeastern_University
2206	Regis College	MA	IIB	504	425	345	407	627	542	426	513	9	20	14	1	46	http://dbpedia.org/resource/Regis_College
2208	Simmons College	MA	IIA	589	471	386	477	724	592	482	593	54	54	53	6	167	http://dbpedia.org/resource/Simmons_College_(Massachusetts)
2209	Smith College	MA	IIA	732	514	405	591	932	646	502	747	127	70	59	6	262	http://dbpedia.org/resource/Smith_College
2211	Springfield College	MA	IIA	520	404	321	376	643	501	399	467	34	45	78	17	174	http://dbpedia.org/resource/Springfield_College_(Massachusetts)
2217	Stonehill College	MA	IIB	513	428	354	423	657	541	458	539	24	56	36	0	116	http://dbpedia.org/resource/Stonehill_College
2218	Suffolk University	MA	IIA	727	548	484	611	925	706	599	777	111	73	33	15	232	http://dbpedia.org/resource/Suffolk_University
2219	Tufts University	MA	I	735	549	447	592	964	710	607	777	148	157	98	2	405	http://dbpedia.org/resource/Tufts_University
2222	University of Massachusetts-Boston	MA	IIA	656	543	445	549	813	679	563	686	154	186	100	1	473	http://dbpedia.org/resource/University_of_Massachusetts_Boston
2224	Wellesley College	MA	IIB	757	550	453	603	988	712	570	779	97	44	74	4	222	http://dbpedia.org/resource/Wellesley_College
2226	Western New England College	MA	IIA	659	497	437	543	823	632	545	682	54	42	29	6	131	http://dbpedia.org/resource/Western_New_England_University
2227	Wheaton College	MA	IIB	602	435	357	486	740	539	448	601	44	16	25	6	91	http://dbpedia.org/resource/Wheaton_College_(Massachusetts)
2228	Wheelock College	MA	IIA	545	420	362	415	662	518	433	505	8	20	20	1	49	http://dbpedia.org/resource/Wheelock_College
2229	Williams College	MA	IIB	707	503	417	543	923	669	566	719	77	36	88	0	213	http://dbpedia.org/resource/Williams_College
2233	Worcester Polytechnic Institute	MA	IIA	659	527	451	546	842	680	557	693	75	70	58	4	212	http://dbpedia.org/resource/Worcester_Polytechnic_Institute
1436	Capitol College	MD	IIB	*	344	*	352	*	406	*	416	5	7	5	0	17	http://dbpedia.org/resource/Capitol_College
2062	Bowie State University	MD	IIA	510	433	349	401	647	554	452	515	31	28	51	14	127	http://dbpedia.org/resource/Bowie_State_University
2067	Columbia Union College	MD	IIB	308	297	293	296	344	329	325	329	17	9	11	5	42	http://dbpedia.org/resource/Washington_Adventist_University
2068	Coppin State College	MD	IIB	557	435	366	431	707	559	476	554	26	32	36	4	103	http://dbpedia.org/resource/Coppin_State_University
2072	Frostburg State University	MD	IIA	498	423	366	416	646	538	468	530	76	56	70	8	228	http://dbpedia.org/resource/Frostburg_State_University
2073	Goucher College	MD	IIB	529	387	358	411	661	489	452	518	21	27	23	4	75	http://dbpedia.org/resource/Goucher_College
2076	Hood College	MD	IIA	516	425	352	402	665	530	434	502	14	21	40	1	76	http://dbpedia.org/resource/Hood_College
2077	Johns Hopkins University	MD	I	798	542	435	593	972	677	551	734	330	110	160	52	767	http://dbpedia.org/resource/Johns_Hopkins_University
2078	Loyola College in Maryland	MD	IIA	632	500	397	482	802	640	511	617	50	76	89	5	222	http://dbpedia.org/resource/Loyola_University_Maryland
2083	Morgan State University	MD	IIA	594	517	439	450	743	651	558	571	26	41	91	42	229	http://dbpedia.org/resource/Morgan_State_University
2091	Salisbury State University	MD	IIA	543	445	357	404	679	562	458	513	54	63	78	8	240	http://dbpedia.org/resource/Salisbury_University
2092	Saint John's College	MD	IIB	*	*	*	437	*	*	*	572	0	0	0	0	43	http://dbpedia.org/resource/St._John's_College_(Brantford)
2099	Towson State University	MD	IIA	531	433	388	439	692	565	505	573	141	136	169	25	471	http://dbpedia.org/resource/Towson_University
2101	U. S. Naval Academy	MD	IIB	595	455	377	492	721	556	466	600	125	100	67	7	299	http://dbpedia.org/resource/United_States_Naval_Academy
2102	University of Baltimore	MD	IIA	680	560	490	582	833	693	612	719	62	50	54	0	166	http://dbpedia.org/resource/University_of_Baltimore
2103	University of Maryland-College Park	MD	I	703	487	406	539	865	608	505	669	535	388	163	133	1285	http://dbpedia.org/resource/University_of_Maryland,_College_Park
2108	Washington College	MD	IIB	496	419	348	443	637	532	421	562	33	12	15	0	60	http://dbpedia.org/resource/Washington_College
2109	Western Maryland College	MD	IIB	477	379	313	412	612	489	400	530	36	30	10	3	79	http://dbpedia.org/resource/McDaniel_College
2033	University of Maine at Presque Isl	ME	IIB	439	354	302	343	562	453	389	440	15	19	25	4	67	http://dbpedia.org/resource/University_of_Maine_at_Presque_Isle
2036	Bates College	ME	IIB	671	490	404	518	824	600	494	635	45	31	45	6	127	http://dbpedia.org/resource/Bates_College
2038	Bowdoin College	ME	IIB	738	527	418	554	918	651	503	682	41	40	35	4	123	http://dbpedia.org/resource/Bowdoin_College
2039	Colby College	ME	IIB	745	515	383	524	904	622	453	629	43	33	60	4	140	http://dbpedia.org/resource/Colby_College
2040	University of Maine at Farmington	ME	IIB	464	348	292	385	594	448	377	496	47	26	13	14	101	http://dbpedia.org/resource/University_of_Maine_at_Farmington
2041	University of Maine at Fort Kent	ME	IIB	436	347	320	356	555	442	415	456	9	10	12	2	33	http://dbpedia.org/resource/University_of_Maine_at_Fort_Kent
2043	Husson College	ME	IIB	407	358	302	334	454	401	338	374	12	13	18	6	49	http://dbpedia.org/resource/Husson_University
2050	University of New England	ME	IIA	450	380	323	354	545	468	396	434	11	22	39	4	76	http://dbpedia.org/resource/University_of_New_England_(Australia)
2051	Saint Joseph's College	ME	IIB	*	321	283	295	*	391	353	370	4	8	33	0	45	http://dbpedia.org/resource/Saint_Joseph's_College_(Indiana)
2052	Thomas College	ME	IIB	*	338	297	318	*	404	341	374	2	7	8	0	17	http://dbpedia.org/resource/Thomas_College
2053	University of Maine at Orono	ME	I	574	436	366	449	716	552	463	566	122	197	102	19	452	http://dbpedia.org/resource/University_of_Maine
2055	University of Maine at Machias	ME	IIB	465	355	284	360	582	459	366	462	7	24	8	0	39	http://dbpedia.org/resource/University_of_Maine_at_Machias
6858	Unity College	ME	IIB	355	261	261	285	418	313	313	340	8	7	16	0	31	http://dbpedia.org/resource/Unity_College_Northampton
2234	Adrian College	MI	IIB	439	365	316	386	559	466	407	493	37	8	14	7	66	http://dbpedia.org/resource/Adrian_College
2235	Albion College	MI	IIB	562	443	346	462	716	573	437	589	47	27	33	2	109	http://dbpedia.org/resource/Albion_College
2236	Alma College	MI	IIB	523	408	335	422	645	515	423	527	25	27	21	2	75	http://dbpedia.org/resource/Alma_College
2239	Aquinas College	MI	IIB	387	313	275	319	491	376	331	392	27	32	27	4	90	http://dbpedia.org/resource/Aquinas_College,_Perth
2241	Calvin College	MI	IIB	471	410	363	446	604	527	461	571	152	33	20	7	212	http://dbpedia.org/resource/Calvin_College
2243	Central Michigan University	MI	IIA	588	460	397	490	768	612	534	648	230	191	137	23	581	http://dbpedia.org/resource/Central_Michigan_University
2247	Concordia College	MI	IIB	342	304	257	289	428	377	340	369	10	12	15	3	40	http://dbpedia.org/resource/Concordia_College_(Moorhead)
2259	Eastern Michigan University	MI	IIA	560	447	389	462	722	590	519	605	318	171	160	17	729	http://dbpedia.org/resource/Eastern_Michigan_University
2260	Ferris State University	MI	IIA	546	470	409	467	713	631	566	628	143	160	151	10	477	http://dbpedia.org/resource/Ferris_State_University
2273	Hope College	MI	IIB	515	420	350	443	681	559	455	585	70	49	38	2	159	http://dbpedia.org/resource/Hope_College
2275	Kalamazoo College	MI	IIB	553	440	352	452	696	569	440	571	36	25	24	7	92	http://dbpedia.org/resource/Kalamazoo_College
2282	Madonna University	MI	IIB	482	395	352	382	576	465	430	459	19	12	42	11	84	http://dbpedia.org/resource/Madonna_University
2290	Michigan State University	MI	I	651	493	413	555	843	663	569	732	949	494	350	47	1840	http://dbpedia.org/resource/Michigan_State_University
2301	Northern Michigan University	MI	IIA	571	459	347	467	749	609	468	619	149	72	61	21	329	http://dbpedia.org/resource/Northern_Michigan_University
2307	Oakland University	MI	IIA	633	518	432	534	831	690	582	710	123	142	85	8	358	http://dbpedia.org/resource/Oakland_University
2308	Olivet College	MI	IIB	400	*	306	329	487	*	357	390	13	4	23	2	44	http://dbpedia.org/resource/Olivet_College
2318	Spring Arbor College	MI	IIB	368	321	284	320	455	398	370	400	22	15	19	6	62	http://dbpedia.org/resource/Spring_Arbor_University
2326	University of Michigan-Dearborn	MI	IIA	552	452	408	451	701	583	531	582	70	66	51	0	219	http://dbpedia.org/resource/University_of_Michigan%E2%80%93Dearborn
